customer_id,cluster,segment_label,predicted_clv,predicted_churn_proba,frequency,days_since_last_purchase,total_calibration_spend
12346.0,0,High-Value / Low-Risk,19070.35670504835,0.9657887,7.0,142.0,77556.46
12347.0,0,High-Value / Low-Risk,1523.9091771495505,0.011704974,3.0,63.0,3146.75
12348.0,0,High-Value / Low-Risk,745.2230528973606,0.012148068,3.0,65.0,1388.3999999999999
12349.0,1,Low-Value / At-Risk,425.5948750929305,0.98858184,1.0,224.0,2221.14
12350.0,1,Low-Value / At-Risk,256.61783146891094,0.9936521,0.0,127.0,294.4
12351.0,1,Low-Value / At-Risk,193.36326330895716,0.9948598,0.0,192.0,300.93
12352.0,0,High-Value / Low-Risk,667.5452099251078,0.0075337915,5.0,79.0,985.31
12353.0,0,High-Value / Low-Risk,250.0241322232875,0.017137278,1.0,21.0,406.76
12354.0,0,High-Value / Low-Risk,423.1619138783783,0.00557618,0.0,49.0,1079.4
12355.0,0,High-Value / Low-Risk,274.2576211855945,0.020919112,1.0,31.0,947.6099999999999
12356.0,0,High-Value / Low-Risk,2543.8827235903655,0.009703907,4.0,62.0,5555.33
12357.0,1,Low-Value / At-Risk,184.284811656696,0.9948598,0.0,205.0,11229.99
12358.0,1,Low-Value / At-Risk,352.20854873174545,0.9902531,2.0,192.0,2519.01
12359.0,0,High-Value / Low-Risk,1548.4467673293266,0.0066056293,8.0,6.0,6059.09
12360.0,0,High-Value / Low-Risk,736.0182548511864,0.011940356,3.0,17.0,2234.41
12361.0,0,High-Value / Low-Risk,215.497484219014,0.019710738,3.0,104.0,451.25
12362.0,0,High-Value / Low-Risk,657.7327331827792,0.0052788644,1.0,42.0,884.34
12363.0,0,High-Value / Low-Risk,390.59167249841784,0.00557618,0.0,59.0,299.1
12365.0,0,High-Value / Low-Risk,283.78406613190873,0.00557618,0.0,108.0,320.69
12366.0,1,Low-Value / At-Risk,97.81967186032227,0.99624145,0.0,450.0,500.24
12368.0,1,Low-Value / At-Risk,98.7648835625142,0.99624145,0.0,445.0,917.7
12369.0,1,Low-Value / At-Risk,415.2494697923691,0.98265797,2.0,230.0,1511.1499999999999
12370.0,0,High-Value / Low-Risk,913.0313462867036,0.0097713135,4.0,91.0,3221.0299999999997
12371.0,1,Low-Value / At-Risk,430.50716751271545,0.98318404,1.0,226.0,1819.42
12372.0,0,High-Value / Low-Risk,682.1836452715563,0.0052788644,1.0,29.0,842.9200000000001
12373.0,1,Low-Value / At-Risk,263.9097194567173,0.98505545,2.0,128.0,927.6500000000001
12374.0,1,Low-Value / At-Risk,291.4302859277072,0.98888373,1.0,238.0,2046.29
12376.0,1,Low-Value / At-Risk,171.7706429851732,0.99248976,1.0,206.0,383.15000000000003
12377.0,0,High-Value / Low-Risk,769.090395275859,0.97850925,3.0,132.0,3266.32
12378.0,1,Low-Value / At-Risk,113.2056047361672,0.99624145,0.0,379.0,1407.7
12379.0,1,Low-Value / At-Risk,234.94992931911213,0.98858184,1.0,239.0,692.98
12380.0,0,High-Value / Low-Risk,1216.7530365314751,0.012690949,3.0,2.0,5345.39
12383.0,0,High-Value / Low-Risk,1008.8819283668809,0.009965395,4.0,1.0,1628.56
12385.0,1,Low-Value / At-Risk,190.475863355498,0.9948598,0.0,196.0,1668.4
12386.0,1,Low-Value / At-Risk,272.6388419034585,0.9799182,1.0,154.0,660.8
12387.0,1,Low-Value / At-Risk,167.91527582129314,0.9948598,0.0,232.0,143.94
12388.0,0,High-Value / Low-Risk,612.7288180937755,0.009531143,4.0,92.0,1886.7
12389.0,1,Low-Value / At-Risk,429.1624623228404,0.98413175,2.0,219.0,1433.33
12391.0,1,Low-Value / At-Risk,422.8667887695008,0.99518365,3.0,281.0,2312.5299999999997
12392.0,1,Low-Value / At-Risk,106.37136894539476,0.99624145,0.0,408.0,234.75000000000003
12393.0,0,High-Value / Low-Risk,978.97745860523,0.0100575285,4.0,62.0,1877.9499999999998
12394.0,0,High-Value / Low-Risk,483.7500132841586,0.00557618,0.0,34.0,351.08
12395.0,0,High-Value / Low-Risk,904.9252701561444,0.006630903,8.0,28.0,3258.36
12396.0,1,Low-Value / At-Risk,90.70206205860724,0.99624145,0.0,491.0,931.43
12399.0,0,High-Value / Low-Risk,536.1304028594728,0.0108662285,4.0,30.0,1532.6000000000001
12400.0,1,Low-Value / At-Risk,168.46944133246623,0.9948598,0.0,231.0,205.25
12401.0,1,Low-Value / At-Risk,265.9971790370231,0.99070215,0.0,120.0,69.3
12402.0,1,Low-Value / At-Risk,379.481103145424,0.98253524,5.0,140.0,1136.9
12403.0,1,Low-Value / At-Risk,124.51761404281706,0.99624145,0.0,338.0,555.6600000000001
12406.0,0,High-Value / Low-Risk,1112.470814710014,0.0119137475,3.0,0.0,4596.3099999999995
12407.0,0,High-Value / Low-Risk,593.6472251533072,0.0052788644,1.0,52.0,450.96000000000004
12408.0,0,High-Value / Low-Risk,903.9482426412322,0.009409296,3.0,77.0,2049.81
12409.0,0,High-Value / Low-Risk,1450.1654480980978,0.98260915,3.0,237.0,12346.619999999999
12410.0,1,Low-Value / At-Risk,333.5520301312585,0.9805716,1.0,125.0,773.71
12411.0,1,Low-Value / At-Risk,171.29614907936426,0.9948598,0.0,226.0,346.9
12412.0,1,Low-Value / At-Risk,312.3112388798504,0.98939425,2.0,219.0,1262.05
12413.0,0,High-Value / Low-Risk,482.699750792795,0.01292756,2.0,53.0,695.25
12414.0,0,High-Value / Low-Risk,392.1000625831672,0.009230945,3.0,34.0,532.41
12415.0,0,High-Value / Low-Risk,27329.350920220324,0.0059553045,9.0,20.0,70002.74
12416.0,1,Low-Value / At-Risk,93.69502982659252,0.99624145,0.0,473.0,202.56
12417.0,0,High-Value / Low-Risk,1280.9727630074174,0.005846484,15.0,4.0,4456.08
12418.0,1,Low-Value / At-Risk,371.8619587152121,0.985906,2.0,230.0,1352.6200000000001
12419.0,1,Low-Value / At-Risk,218.7915840173256,0.9876917,1.0,202.0,391.01000000000005
12421.0,1,Low-Value / At-Risk,271.8446363875734,0.98550594,2.0,136.0,365.01
12422.0,0,High-Value / Low-Risk,850.992575249678,0.9686479,9.0,141.0,3194.29
12423.0,0,High-Value / Low-Risk,1002.3937049973628,0.007147142,7.0,8.0,1953.77
12424.0,1,Low-Value / At-Risk,442.4249754560107,0.98774403,1.0,239.0,1579.07
12425.0,1,Low-Value / At-Risk,151.4752457117439,0.9948598,0.0,265.0,964.21
12426.0,0,High-Value / Low-Risk,240.86160754492812,0.021327764,1.0,11.0,1201.21
12427.0,1,Low-Value / At-Risk,196.3397337607527,0.9948598,0.0,188.0,499.0
12428.0,0,High-Value / Low-Risk,935.563458031417,0.005509227,3.0,59.0,5119.34
12429.0,0,High-Value / Low-Risk,1471.4705596572617,0.010044102,3.0,44.0,5110.99
12431.0,0,High-Value / Low-Risk,1973.7589782323212,0.0057805316,16.0,17.0,7229.05
12433.0,0,High-Value / Low-Risk,3007.166469781802,0.98183286,4.0,183.0,10992.51
12434.0,0,High-Value / Low-Risk,364.09456080676887,0.014438975,1.0,77.0,583.54
12435.0,0,High-Value / Low-Risk,2384.4927954909554,0.01315608,4.0,84.0,10075.029999999999
12437.0,0,High-Value / Low-Risk,2362.946938315611,0.005970247,25.0,15.0,8594.08
12439.0,1,Low-Value / At-Risk,67.8130189111353,0.99567163,1.0,499.0,1158.18
12440.0,1,Low-Value / At-Risk,148.00374540164233,0.99567163,1.0,279.0,739.2
12441.0,1,Low-Value / At-Risk,200.1919910841392,0.9948598,0.0,183.0,311.1
12443.0,1,Low-Value / At-Risk,82.23794168340548,0.99624145,0.0,549.0,365.31
12445.0,1,Low-Value / At-Risk,165.19833336959886,0.9948598,0.0,237.0,301.58000000000004
12447.0,0,High-Value / Low-Risk,387.6097621402632,0.00557618,0.0,60.0,431.49
12449.0,0,High-Value / Low-Risk,513.7026252459989,0.018909086,1.0,4.0,1447.5300000000002
12450.0,1,Low-Value / At-Risk,237.4590405088241,0.9845694,2.0,216.0,490.32000000000005
12451.0,0,High-Value / Low-Risk,2675.0944580869145,0.009215076,3.0,35.0,8942.18
12454.0,0,High-Value / Low-Risk,2299.2663240751585,0.98532134,2.0,212.0,12931.44
12455.0,0,High-Value / Low-Risk,1101.0752595266845,0.0091332765,5.0,6.0,5303.39
12456.0,0,High-Value / Low-Risk,357.594012952969,0.00557618,0.0,71.0,780.17
12457.0,0,High-Value / Low-Risk,638.8885707421467,0.008020275,3.0,50.0,1419.9299999999998
12458.0,0,High-Value / Low-Risk,450.7034954664505,0.014030046,2.0,101.0,1077.01
12459.0,1,Low-Value / At-Risk,103.35925517643749,0.99624145,0.0,422.0,398.36
